name,node_id,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,production_value,attraction_value
,151,0,,,,0,-111.9091114,33.4168439,,749,741
,152,0,,,,0,-111.909117,33.416154399999996,,749,741
,153,7,,,,0,-111.909123,33.405352799999996,,749,741
,154,7,,,,0,-111.90912790000002,33.4029846,,749,741
,155,7,,,,0,-111.90913130000001,33.4013951,,749,741
,156,4,,turning_circle,,0,-111.9338365,33.4033553,,749,741
,157,4,,,,0,-111.93384509999998,33.402774900000004,,749,741
,158,5,,,,0,-111.91389140000001,33.4169249,,749,741
,159,0,,stop,,0,-111.9128676,33.41707,,749,741
,160,0,,stop,,0,-111.91179199999999,33.4170678,,749,741
,161,1,,,,0,-111.9294043,33.4166443,,749,741
,162,5,,,,0,-111.92058700000001,33.4167118,,749,741
,163,5,,,,0,-111.91877649999999,33.4166821,,749,741
,164,5,,,,0,-111.9177293,33.4166715,,749,741
,165,0,,,,0,-111.9073356,33.4168555,,749,741
,166,5,,,,0,-111.91245479999999,33.4135536,,749,741
,167,5,,,,0,-111.91245479999999,33.4125936,,749,741
,168,5,,,,0,-111.91245479999999,33.4116335,,749,741
,169,7,,,,0,-111.9132489,33.4065043,,749,741
,170,7,,,,0,-111.913248,33.405707899999996,,749,741
,171,7,,,,0,-111.9132494,33.4049536,,749,741
,172,7,,,,0,-111.91362109999999,33.4034448,,749,741
,173,7,,,,0,-111.91362439999999,33.4026892,,749,741
,174,7,,,,0,-111.9129178,33.4026896,,749,741
,175,7,,,,0,-111.91292040000002,33.4009648,,749,741
,176,6,,,,0,-111.9406317,33.4333828,,749,741
,181,3,,,,0,-111.9400362,33.4176249,,749,741
,182,3,,,,0,-111.9399894,33.4162047,,749,741
,183,3,,,,0,-111.93989280000001,33.4136273,,749,741
,184,3,,,,0,-111.93989170000002,33.4135032,,749,741
,185,4,,traffic_signals,,0,-111.9398741,33.4074072,,749,741
,186,4,,,,0,-111.93979509999998,33.405988300000004,,749,741
,187,4,,,,0,-111.9397784,33.4046692,,749,741
,188,4,,traffic_signals,,0,-111.9397467,33.4025993,,749,741
,189,4,,,,0,-111.93973629999999,33.402014,,749,741
,190,0,,turning_circle,,0,-111.90620449999999,33.4179927,,749,741
