name,node_id,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry
,2839,2305,,turning_circle,residential,0,-111.89879,33.360962,POINT (-111.89879 33.360962)
,2840,2306,,,residential,0,-111.9521978,33.4182867,POINT (-111.9521978 33.4182867)
,2841,2307,,turning_circle,residential,0,-111.8966048,33.3650575,POINT (-111.8966048 33.3650575)
,2842,2308,,,residential,0,-111.9521944,33.4176657,POINT (-111.9521944 33.4176657)
,2843,2309,,,residential,0,-111.9521919,33.4161297,POINT (-111.9521919 33.4161297)
,2844,2310,,,residential,0,-111.9728635,33.3860178,POINT (-111.9728635 33.3860178)
,2845,2311,,turning_circle,residential,0,-111.9519526,33.386384,POINT (-111.9519526 33.386384)
,2846,2312,,,residential,0,-111.9521718,33.4096526,POINT (-111.9521718 33.4096526)
,2847,2313,,,residential,1,-111.9753855,33.3923927,POINT (-111.9753855 33.3923927)
,2848,2314,,,residential,0,-111.9521721,33.409832,POINT (-111.9521721 33.409832)
,2849,2315,,turning_circle,residential,0,-111.9527595,33.3863912,POINT (-111.9527595 33.3863912)
,2850,2316,,,residential,1,-111.9754706,33.392395,POINT (-111.9754706 33.392395)
,2851,2317,,,residential,0,-111.9521708,33.4090693,POINT (-111.9521708 33.4090693)
,2852,,,,tertiary,0,-111.9521489,33.4046315,POINT (-111.9521489 33.4046315)
,2853,,,,tertiary,0,-111.9521455,33.4028816,POINT (-111.9521455 33.4028816)
,2854,2318,,turning_circle,residential,0,-111.9085565,33.3816725,POINT (-111.9085565 33.3816725)
,2855,,,,others,0,-111.9521238,33.3964814,POINT (-111.9521238 33.3964814)
,2856,2319,,,residential,0,-111.9106468,33.3678065,POINT (-111.9106468 33.3678065)
,2857,2320,,,residential,0,-111.9519808,33.3922064,POINT (-111.9519808 33.3922064)
,2858,2321,,,residential,0,-111.9525558,33.3893829,POINT (-111.9525558 33.3893829)
,2859,2322,,turning_circle,residential,0,-111.9499246,33.3596612,POINT (-111.9499246 33.3596612)
,2860,2323,,,residential,0,-111.9523928,33.3879066,POINT (-111.9523928 33.3879066)
,2861,2324,,,residential,0,-111.9106845,33.3723097,POINT (-111.9106845 33.3723097)
,2862,2325,,,residential,0,-111.9081627,33.3599727,POINT (-111.9081627 33.3599727)
,2863,2326,,,residential,0,-111.9523069,33.3871756,POINT (-111.9523069 33.3871756)
,2864,2327,,turning_circle,residential,0,-111.9487058,33.3596541,POINT (-111.9487058 33.3596541)
,2865,2328,,,residential,0,-111.9523046,33.3863912,POINT (-111.9523046 33.3863912)
,2866,2329,,,residential,0,-111.9097833,33.3724387,POINT (-111.9097833 33.3724387)
,2867,2330,,turning_circle,residential,0,-111.9085133,33.3830249,POINT (-111.9085133 33.3830249)
,2868,2331,,turning_circle,residential,0,-111.9085538,33.3824936,POINT (-111.9085538 33.3824936)
,2869,2332,,,residential,0,-111.9523945,33.3832196,POINT (-111.9523945 33.3832196)
,2870,2333,,,residential,0,-111.9075298,33.3879741,POINT (-111.9075298 33.3879741)
,2871,2334,,,residential,0,-111.9075586,33.3426263,POINT (-111.9075586 33.3426263)
,2872,2335,,turning_circle,residential,0,-111.9363093,33.323347,POINT (-111.9363093 33.323347)
,2873,2336,,,residential,0,-111.9066659,33.3429991,POINT (-111.9066659 33.3429991)
,2874,2337,,,residential,0,-111.9525324,33.3766329,POINT (-111.9525324 33.3766329)
,2875,2338,,turning_circle,residential,0,-111.9105172,33.3303199,POINT (-111.9105172 33.3303199)
,2876,2339,,,residential,0,-111.9455996,33.3254759,POINT (-111.9455996 33.3254759)
,2877,2340,,,residential,0,-111.9442006,33.3254903,POINT (-111.9442006 33.3254903)
,2878,2341,,,residential,0,-111.9434968,33.3254831,POINT (-111.9434968 33.3254831)
,2879,2342,,,residential,0,-111.9527146,33.3759859,POINT (-111.9527146 33.3759859)
,2880,2343,,,residential,0,-111.9105369,33.346154,POINT (-111.9105369 33.346154)
,2881,2344,,turning_circle,residential,0,-111.9105369,33.3471506,POINT (-111.9105369 33.3471506)
,2882,2345,,,residential,0,-111.942381,33.3250313,POINT (-111.942381 33.3250313)
,2883,2346,,turning_circle,residential,0,-111.9104477,33.3559481,POINT (-111.9104477 33.3559481)
,2884,2347,,,residential,0,-111.9412652,33.3247086,POINT (-111.9412652 33.3247086)
,2885,2348,,,residential,0,-111.9099928,33.3552527,POINT (-111.9099928 33.3552527)
,2886,2349,,,residential,0,-111.940673,33.3247014,POINT (-111.940673 33.3247014)
,2887,2350,,,residential,0,-111.9534291,33.3750386,POINT (-111.9534291 33.3750386)
