name,node_id,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,super_zone_id
,1,1,,,residential,0,-111.9176573,33.3340915,POINT (-111.9176573 33.3340915),6
,2,2,,,residential,0,-111.9180435,33.3278453,POINT (-111.9180435 33.3278453),6
,3,3,,turning_circle,residential,0,-111.9181293,33.3283975,POINT (-111.9181293 33.3283975),6
,4,4,,,residential,0,-111.9370903,33.3247312,POINT (-111.9370903 33.3247312),7
,5,5,,,residential,0,-111.9419776,33.406618,POINT (-111.9419776 33.406618),3
,6,6,,,residential,0,-111.9396516,33.3346409,POINT (-111.9396516 33.3346409),7
,7,7,,,residential,0,-111.9652898,33.4231118,POINT (-111.9652898 33.4231118),4
,8,8,,,residential,0,-111.9393266,33.3362643,POINT (-111.9393266 33.3362643),7
,9,9,,,residential,0,-111.9386313,33.3370316,POINT (-111.9386313 33.3370316),7
,10,10,,,residential,0,-111.9383052,33.3379781,POINT (-111.9383052 33.3379781),7
,11,11,,,residential,0,-111.9383138,33.3384442,POINT (-111.9383138 33.3384442),7
,12,12,,,residential,0,-111.9405778,33.3832706,POINT (-111.9405778 33.3832706),0
,13,,,,primary,0,-111.9530106,33.4219181,POINT (-111.9530106 33.4219181),4
