name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id
,49,1364282598,,,0,,,0,116.3190576,39.9418355,,
,50,1364282642,,,0,,,0,116.3191051,39.9411555,,
,51,1364282643,,,0,,,0,116.3191461,39.9411577,,
,52,1364282645,,,0,,,0,116.3189688,39.9412194,,
,53,1364282646,,,0,,,0,116.3190694,39.9412264,,
,54,1364282647,,,0,,,0,116.3191616,39.9412309,,
,55,1364282648,,,0,,,0,116.3192622,39.941238,,
,56,1364282650,,,0,,,0,116.3188088,39.9424321,,
,57,1364282651,,,0,,,0,116.318912,39.9424397,,
,58,1364282652,,,0,,,0,116.3190016,39.9424437,,
,59,1364282653,,,0,,,0,116.3191048,39.9424513,,
,60,1366374489,,,0,,,0,116.3459055,39.9490341,,
,62,1366374616,,,0,,,0,116.3446103,39.9524852,,
,63,1366374628,,,0,,,0,116.3443629,39.9564454,,
,65,1367558274,,,0,,,0,116.3452299,39.9507035,,
,66,1367561673,,,0,,,0,116.3473627,39.9452307,,
,67,1367561676,,,0,,,0,116.3469059,39.9466178,,
,68,1680199700,,,0,,,0,116.3185359,39.9443666,,
,69,1680199701,,,0,,,0,116.3189027,39.944336,,
,70,1748268028,,,0,,,0,116.3569831,39.9464438,,
,71,1748268039,,,0,,,0,116.3573648,39.9468319,,
,72,1748268040,,,0,,,0,116.3571712,39.9468321,,
,73,1748268042,,,0,,,0,116.3571234,39.946855,,
,74,1748268047,,,0,,,0,116.357144,39.9469864,,
,75,1748268050,,,0,,,0,116.3575315,39.9470613,,
,76,1748268051,,,0,,,0,116.3579324,39.9470646,,
,78,1748268065,,,0,,,0,116.357731,39.9471971,,
,79,1748268084,,,0,,,0,116.357755,39.9474188,,
,80,1748268097,,,0,,,0,116.358002,39.9475636,,
,81,2715455314,,,0,,,0,116.3485956,39.9409499,,
,82,2716936369,,,0,,,0,116.3347178,39.9535353,,
,83,2716936408,,,0,,,0,116.336623,39.9519471,,
,84,2716936412,,,0,,,0,116.3321606,39.9528236,,
,85,2716936420,,,0,,,0,116.3314746,39.9521176,,
,86,2716936422,,,0,,,0,116.3311545,39.9520978,,
,87,6941598135,,,0,,,0,116.3442506,39.9523923,,
,88,6941598136,,,0,,,0,116.3444472,39.9521477,,
,89,6941598137,,,0,,,0,116.344311,39.952403,,
,90,6941598138,,,0,,,0,116.3443978,39.9521309,,
