name,osm_way_id,osm_relation_id,building,amenity,geometry,centroid
,262361671,,yes,,"POLYGON ((116.3556233 39.9427883, 116.3557906 39.942837, 116.3558072 39.9428035, 116.3569872 39.9431467, 116.3570054 39.9431099, 116.3570984 39.9431369, 116.3570379 39.943259, 116.3569927 39.9432458, 116.3569519 39.9433281, 116.3557372 39.9429744, 116.3557188 39.9430116, 116.3555387 39.9429592, 116.3556233 39.9427883))",POINT (116.3563138264596 39.94304917642341)
,262361672,,yes,,"POLYGON ((116.3554422 39.9433498, 116.356051 39.9435269, 116.3560656 39.9434976, 116.3561657 39.9435267, 116.3560982 39.9436629, 116.3560503 39.943649, 116.3560249 39.9437004, 116.3553639 39.9435081, 116.3554422 39.9433498))",POINT (116.3557600097069 39.94352865918087)
,262361886,,yes,,"POLYGON ((116.354126 39.9430463, 116.3551824 39.9433378, 116.3551387 39.9434308, 116.3540824 39.9431394, 116.354126 39.9430463))",POINT (116.3546323147954 39.94323855731098)
,262361887,,yes,,"POLYGON ((116.3548222 39.9429394, 116.3553643 39.9430172, 116.3553408 39.9431135, 116.3547987 39.9430357, 116.3548222 39.9429394))",POINT (116.3550815 39.94302645)
,262361888,,yes,,"POLYGON ((116.3548659 39.942725, 116.3553938 39.9428067, 116.3554173 39.9427174, 116.3548894 39.9426357, 116.3548659 39.942725))",POINT (116.3551416 39.94272119999999)
,262361889,,yes,,"POLYGON ((116.354229 39.9426521, 116.3547395 39.9427251, 116.3547631 39.9426279, 116.3542526 39.9425549, 116.354229 39.9426521))",POINT (116.35449605 39.94264)
,262361890,,yes,,"POLYGON ((116.3544044 39.9428163, 116.3547117 39.942898, 116.3546618 39.9430084, 116.3543545 39.9429266, 116.3544044 39.9428163))",POINT (116.3545331201684 39.9429123317185)
,262361891,,yes,,"POLYGON ((116.3534911 39.9425459, 116.3539686 39.9426657, 116.3538735 39.9428883, 116.3533961 39.9427686, 116.3534911 39.9425459))",POINT (116.3536823150451 39.94271711695812)
,263929566,,yes,,"POLYGON ((116.3572411 39.9438635, 116.3582332 39.9441329, 116.358383 39.9438279, 116.3573702 39.9437387, 116.3572669 39.9437902, 116.3572411 39.9438635))",POINT (116.3578625310864 39.94390238491513)
,263930255,,yes,,"POLYGON ((116.3507014 39.9418929, 116.3509397 39.9419629, 116.3509677 39.9419069, 116.3516888 39.9421186, 116.3516728 39.9421506, 116.351856 39.9422044, 116.3519163 39.9420838, 116.3517057 39.942022, 116.3517278 39.9419776, 116.3510514 39.941779, 116.3510294 39.941823, 116.3507738 39.941748, 116.3507014 39.9418929))",POINT (116.351307902109 39.94195079632486)
,263930426,,yes,,"POLYGON ((116.3509507 39.9415042, 116.3515252 39.9415807, 116.3515047 39.9416709, 116.3509303 39.9415944, 116.3509507 39.9415042))",POINT (116.3512277321485 39.94158754964347)
,263930427,,yes,,"POLYGON ((116.3516203 39.9415803, 116.3521931 39.9416041, 116.3521874 39.9416839, 116.3516147 39.94166, 116.3516203 39.9415803))",POINT (116.3519039372334 39.94163207651334)
,263930428,,yes,,"POLYGON ((116.3519254 39.9418868, 116.3523452 39.9418976, 116.3523409 39.9419964, 116.3519211 39.9419856, 116.3519254 39.9418868))",POINT (116.35213315 39.94194159999999)
,263930429,,yes,,"POLYGON ((116.3520251 39.9421321, 116.3521601 39.9421716, 116.3521355 39.9422224, 116.3523981 39.9423052, 116.3524939 39.94226, 116.3525135 39.9420474, 116.3524251 39.9420418, 116.3524325 39.9419307, 116.3526657 39.9419401, 116.3526264 39.9423278, 116.3524153 39.9424219, 116.3519416 39.9422883, 116.3520251 39.9421321))",POINT (116.3523844014459 39.94220835644499)
,263930539,,yes,,"POLYGON ((116.3564902 39.9450041, 116.3565528 39.9448758, 116.3567738 39.9449392, 116.3567955 39.9448948, 116.35687 39.9449162, 116.3568061 39.9450471, 116.3565828 39.944983, 116.3565624 39.9450248, 116.3564902 39.9450041))",POINT (116.3566807169054 39.94496098031095)
,263930540,,yes,,"POLYGON ((116.3571302 39.9451506, 116.3571978 39.9450224, 116.3574138 39.9450894, 116.3574332 39.9450526, 116.3574965 39.9450722, 116.3574295 39.9451993, 116.3572215 39.9451348, 116.3572015 39.9451727, 116.3571302 39.9451506))",POINT (116.3573122253486 39.94511138435311)
,263930541,,yes,,"POLYGON ((116.3578639 39.9451934, 116.3584961 39.9454242, 116.3584418 39.9455115, 116.3578097 39.9452807, 116.3578639 39.9451934))",POINT (116.35815289354 39.94535245561819)
东区食堂,265006297,,yes,restaurant,"POLYGON ((116.3397789 39.9473061, 116.3395906 39.9471436, 116.3396017 39.9469983, 116.3399069 39.9468319, 116.340156 39.9468568, 116.3402475 39.9469383, 116.3402343 39.9470973, 116.3400302 39.9472555, 116.3398953 39.9472392, 116.3397789 39.9473061))",POINT (116.3399221272796 39.9470545222896)
东区体育馆,265006298,,yes,,"POLYGON ((116.339585 39.9468009, 116.3395968 39.9467463, 116.3394308 39.9467433, 116.3394426 39.9465947, 116.3391935 39.9465826, 116.3391777 39.9467736, 116.339585 39.9468009))",POINT (116.3393401194624 39.94669775349034)
北京交通大学东校区,266297360,,,university,"POLYGON ((116.3391257 39.9473742, 116.3392197 39.9468014, 116.3392602 39.9465548, 116.3393876 39.9465113, 116.3396354 39.9446717, 116.3413049 39.9440789, 116.3419429 39.9438523, 116.3420066 39.9450299, 116.3418934 39.9461315, 116.3426154 39.9461966, 116.3425304 39.9466307, 116.3418934 39.9465765, 116.3417023 39.946723, 116.3415465 39.9474556, 116.3403857 39.9473253, 116.3403361 39.9474284, 116.3391257 39.9473742))",POINT (116.340763358861 39.94585567908248)
学10,267948892,,yes,,"POLYGON ((116.3554237 39.9569955, 116.3560483 39.956999, 116.3560494 39.9568828, 116.3554248 39.9568793, 116.3554237 39.9569955))",POINT (116.35573655 39.95693915)
学11,267948893,,yes,,"POLYGON ((116.3561182 39.9570034, 116.3567428 39.9570116, 116.3567454 39.9568948, 116.3561208 39.9568866, 116.3561182 39.9570034))",POINT (116.3564318 39.9569491)
科普馆,273416828,,yes,,"POLYGON ((116.3287955 39.9412648, 116.3288046 39.940866, 116.3296442 39.9408485, 116.3296488 39.9409744, 116.3298359 39.9409919, 116.3298496 39.9412193, 116.3298542 39.9412578, 116.3287955 39.9412648))",POINT (116.3292964174809 39.94106856150699)
狮虎山,273416876,,yes,,"POLYGON ((116.3338355 39.940937, 116.3336074 39.940909, 116.3335409 39.9408058, 116.3335024 39.9407271, 116.3334842 39.9405591, 116.3335161 39.9403527, 116.3336576 39.9401988, 116.3337945 39.9401288, 116.3339268 39.9401323, 116.3341185 39.9401288, 116.3342827 39.9401883, 116.3343877 39.9402897, 116.3344196 39.9404822, 116.3344425 39.9406221, 116.3343694 39.9407586, 116.3342508 39.940874, 116.3340865 39.940923, 116.3339359 39.940944, 116.3338355 39.940937))",POINT (116.3339542256644 39.94053635706624)
16号学生公寓,276198652,,apartments,,"POLYGON ((116.3367592 39.9521603, 116.3368316 39.9520245, 116.3375709 39.9521501, 116.3375823 39.9522012, 116.3375499 39.9523064, 116.3367725 39.9521793, 116.3367592 39.9521603))",POINT (116.3371786339391 39.95216544524312)
学生一食堂,276198748,,yes,restaurant,"POLYGON ((116.3369555 39.9518843, 116.3370565 39.9515907, 116.3376624 39.9516754, 116.3375976 39.9519967, 116.3369669 39.9519383, 116.3369555 39.9518843))",POINT (116.3373097180948 39.9518006688068)
18号学生公寓,276198818,,apartments,,"POLYGON ((116.3370355 39.9514242, 116.3370565 39.9513555, 116.3370927 39.9513672, 116.3371174 39.9512942, 116.3373918 39.9513453, 116.337409 39.9513278, 116.3377653 39.9513818, 116.33771 39.9516082, 116.3371936 39.951541, 116.3370584 39.9515089, 116.3370355 39.9514242))",POINT (116.3374041969287 39.9514511723096)
第八教学楼,276198844,,school,,"POLYGON ((116.3359308 39.9513092, 116.3359632 39.9511828, 116.3366155 39.9512813, 116.336583 39.9514077, 116.3359308 39.9513092))",POINT (116.3362731316507 39.95129524938944)
思源东楼,276198909,,school,,"POLYGON ((116.3353226 39.9500418, 116.3360534 39.9501623, 116.3359955 39.9503885, 116.3352675 39.9502765, 116.3353226 39.9500418))",POINT (116.3356577359747 39.95021682542098)
科学会堂,276199032,,school,,"POLYGON ((116.3353294 39.9505839, 116.3354054 39.950339, 116.3359322 39.950435, 116.3358563 39.9506799, 116.3354994 39.9506149, 116.3353294 39.9505839))",POINT (116.3356308172471 39.9505094590567)
思源楼,276199049,,school,,"POLYGON ((116.3341617 39.9503124, 116.3343244 39.9498664, 116.3351489 39.9500144, 116.3350441 39.950471, 116.3341617 39.9503124))",POINT (116.3346690479989 39.95016860928181)
思源西楼,276199074,,school,,"POLYGON ((116.3333509 39.9499192, 116.3334006 39.9497353, 116.3341755 39.9498791, 116.3340982 39.9500799, 116.3333509 39.9499192))",POINT (116.3337633787087 39.94990432725012)
信息中心,276199644,,apartments,,"POLYGON ((116.3332351 39.9503167, 116.333282 39.9502237, 116.3336101 39.9503188, 116.3336377 39.9501835, 116.3340183 39.95023, 116.33393 39.9505302, 116.3336598 39.9504773, 116.3336874 39.9504266, 116.333271 39.9503442, 116.3332351 39.9503167))",POINT (116.3337020840813 39.95033899541058)
15号学生公寓,276200624,,apartments,,"POLYGON ((116.3324382 39.949729, 116.332485 39.9496148, 116.333213 39.9497332, 116.3331662 39.9498812, 116.3324382 39.949729))",POINT (116.3328402072281 39.94974244584886)
